Thrower,Wingspan,Weight,Meet,Date,Result,Result_normalized,Bench,Squat,Clean,Snatch,Speed,Vertical,Shape,Days_away,Trip_meet,Overseas,Training Load?,Recovery?,Technical Proficiency,Throws per training session,Notes on other things that could have affected results
Sam Mattis,77,258,Triton 2022,4/9/22,65.05,65.05,515,275,170,135,8,33,8,4,2,0,,,,,
Sam Mattis,77,258,Golden Games CA 2022,4/16/22,63.71,63.71,500,270,170,125,8,33,7,11,3,0,,,,,
Sam Mattis,77,258,Kutztown 1 2022,4/29/22,61.95,61.95,505,270,160,130,8,33,7,0,1,0,,,,,
Sam Mattis,77,258,Kutztown 2 2022,5/13/22,62.43,62.43,505,270,160,130,8,33,7,0,1,0,,,,,
Sam Mattis,77,258,Tucson 1 2022,5/19/22,64.66,64.66,505,270,165,132,8,34,8,2,1,0,,,,,
Sam Mattis,77,258,Tucson 2022,5/21/22,68.69,67.01,515,275,170,140,9,33,9,4,2,0,,,,,
Sam Mattis,77,258,Selfoss,5/28/22,63.62,62.7,485,260,160,132,8,33,8,2,1,1,,,,,
Sam Mattis,77,258,Vormot,5/29/22,63.47,63.47,485,260,160,132,7,33,7,3,2,1,,,,,
Sam Mattis,77,258,Rabat DL 2022,6/5/22,64.17,64.17,485,260,165,135,8,33,8,3,3,1,,,,,
Sam Mattis,77,258,Doha DL 2022,6/9/22,63.93,63.93,485,260,165,132,8,33.5,8,7,4,1,,,,,
Sam Mattis,77,258,US Nationals 2022,6/23/22,62.25,62.25,485,260,165,135,7,33,7,5,1,0,,,,,
Sam Mattis,77,258,Stockholm DL,6/30/22,63.69,63.69,485,260,165,133,7,33,7,3,1,1,,,,,
Sam Mattis,77,258,Worlds Qualifying 2022,7/17/22,65.59,65.01,500,265,167,130,8,35,8,6,1,0,,,,,
Sam Mattis,77,258,Worlds Final 2022,7/19/22,63.19,63,500,265,167,130,8,35,8,8,2,0,,,,,
Sam Mattis,77,258,DL Final 2022,9/8/22,65.24,65.24,500,265,167,130,8,34,9,3,1,1,,,,,
Sam Mattis,77,258,Zagreb 2022,9/11/22,67.19,65.8,500,265,167,130,8,34,8,6,2,1,,,,,
